	RC_C	RC_N
pp_58601	0.06608349033333333	4.763594204666666
pp_184598	2.159884478	0.0
pp_246622	6.690487387666667	0.0
pp_246623	5.3124471516666665	0.0
pp_58602	0.032538054	2.3928373686666666
pp_230441	0.823978781	28.88300989
pp_177595	1.0443243686666666	0.0
pp_60103	1.7734040563333333	0.0
pp_222714	1.373455199	0.010827903
pp_233357	0.27729588633333335	0.0
pp_92810	7.806589531	0.008781677666666666
pp_154562	2.519684443	0.0
pp_183087	1.2310011536666667	0.0
pp_105319	2.0243131906666667	0.0
pp_58878	0.47240218366666664	0.0
pp_155879	5.070457732333334	0.058026780666666666
pp_57436	0.47182022733333334	0.0
pp_58879	0.43978400633333337	0.0
pp_58877	0.314401541	0.0
pp_204819	0.9119243876666666	0.0
pp_240027	2.6499278073333334	0.11867899
pp_220805	0.34086745700000004	0.0
pp_87887	2.2340977973333334	0.0
pp_60102	0.7489790049999999	0.0
pp_128442	0.201990724	5.9046787903333335
pp_155881	6.418102722	0.12270298866666667
pp_220806	0.38482266633333334	0.0
pp_198114	0.70616897	0.0054139516666666665
pp_174625	2.4132933923333333	0.019879830666666667
pp_184043	1.0009072296666668	0.0
pp_215277	0.7335158426666667	0.0
pp_230439	0.06488368133333333	2.038188509666667
pp_59797	1.053736482	0.026692522333333333
pp_209433	0.0036322876666666664	3.394030653333333
pp_74833	0.9446015356666667	0.0
pp_92563	0.0	0.7534581463333333
pp_116963	0.6462799846666666	0.004255714
pp_198115	0.6618466860000001	0.010827903
pp_205938	0.4344034333333333	0.0
pp_57423	0.324451269	0.0
pp_143536	0.4301198133333333	0.0
pp_215856	0.5082275643333333	0.008511428333333333
pp_60101	0.7502988286666666	0.0
pp_189071	4.230884027	35.775680460000004
pp_222716	0.313434391	0.0
pp_154552	0.517757341	0.0
pp_111663	2.878398571	0.24409343333333333
pp_58258	0.509838057	0.0
pp_212739	1.1297841899999999	0.040270413666666664
pp_143492	1.0814471176666667	0.03744318666666667
pp_145489	0.25774958466666664	0.0
pp_57435	0.8187853126666667	0.010827903
pp_110588	0.31348902466666667	0.0
pp_245763	1.053151491	0.022629819
pp_172934	0.7328273123333333	0.06723318533333333
pp_74836	0.5400458693333333	0.0
pp_73640	2.7102540803333333	0.20027428533333336
pp_202726	7.194136403333333	0.4056030306666667
pp_152462	0.212790027	0.0
pp_115882	0.854290539	0.026345033666666667
pp_227736	0.34434219	0.02181907
pp_213922	0.17231491233333335	2.310722471
pp_115883	1.332767896	0.059802756
pp_85353	1.7214082459999998	0.009051927666666666
pp_119525	0.781356811	0.06033446866666667
pp_19744	0.20818789666666668	0.0
pp_100356	0.4218005933333333	0.0
pp_74837	0.6063915036666666	0.0
pp_211621	1.184427386	0.09740920633333333
pp_165757	3.5151601193333333	0.170017809
pp_177596	0.7523638913333334	0.010827903
pp_170422	9.882302519	3.213785563
pp_184577	1.1758245263333333	12.339928279
pp_60100	0.5371514496666666	0.0
pp_211624	0.2926353153333333	0.009051927666666666
pp_215275	0.9511322383333334	0.010827903
pp_240028	2.0066579213333333	0.109249827
pp_220804	0.8908829306666666	0.05236354
pp_213918	0.9587207106666666	9.409548582666666
pp_108904	0.022953643666666666	1.141012396
pp_164253	5.219694574	0.17096529133333332
pp_239872	1.626815891	0.10389537
pp_224534	0.2664570336666667	0.004525963666666666
pp_202723	0.8076832913333333	0.044285625
pp_135100	3.748385182	0.037713436
pp_202764	1.9426354983333334	0.0
pp_128994	4.277635124666667	0.12091822666666666
pp_164246	1.8539218303333331	0.072647137
pp_245633	13.259379783666667	0.18359570066666667
pp_230438	0.083532551	1.498982919
pp_184578	0.7395782830000001	10.088307099666666
pp_57434	0.163385552	0.0
pp_94204	0.6878546556666667	0.032483709
pp_246335	0.9344559813333333	0.050664803
pp_94158	0.4311449736666667	0.0
pp_203621	1.4121048756666665	0.11407578766666666
pp_111386	0.186659008	0.008511428333333333
pp_184042	0.6183242743333334	0.0
pp_92811	2.8621471539999996	0.084740263
pp_58112	1.1379794003333332	0.0
pp_175669	0.7473789183333334	0.015083617
pp_154715	1.864324574	0.04888882766666666
pp_225098	0.13751199833333333	0.0
pp_208856	0.2734490586666667	3.800039389
pp_153124	0.17539472833333333	2.702999091666667
pp_111388	0.18829898533333334	0.0
pp_227703	1.2911499573333334	0.14171579166666667
pp_189113	0.5262069823333333	0.017022856333333333
pp_213048	0.348594315	0.0
pp_133770	0.9419224153333333	0.0
pp_155049	1.002402687	22.603217266
pp_114024	1.0498068376666665	0.059532506
pp_118240	0.7645497266666667	3.758287607
pp_110587	0.171817416	0.0
pp_243770	2.6182519976666665	0.328910935
pp_100599	2.2076889176666668	0.053385044
pp_61539	0.0	2.4279190403333333
pp_123938	2.322154391	0.21700593166666665
pp_123158	0.798558812	0.0
pp_146550	0.15356111166666667	0.0
pp_145491	0.293062385	0.01392538
pp_247190	0.26799945166666667	0.008511428333333333
pp_119524	0.949759514	0.12810815366666667
pp_111666	1.0460870546666667	0.09012446766666667
pp_146552	0.259839796	0.010827903
pp_198517	0.7967733543333333	0.10022764666666667
pp_204818	0.442634199	0.009051927666666666
pp_164247	4.627021940333333	0.19553434966666666
pp_79846	0.8619757983333334	0.152968422
pp_105322	0.9342833426666667	0.044719139
pp_128870	3.126042453666667	0.746606921
pp_108259	0.881306233	0.0
pp_57425	0.18669924066666665	0.0
pp_239951	0.58781808	0.059879994666666665
pp_165756	1.5031498096666667	0.10046814899999999
pp_57428	0.17105006333333334	0.0
pp_213919	1.364034715	11.094945408333334
pp_204223	0.22204456100000003	0.0
pp_173790	0.364501299	0.0
pp_99589	0.239933449	0.0
pp_159964	0.261239402	0.03566721133333333
pp_153127	0.210860064	2.463250946
pp_120227	0.17782720766666668	0.0
pp_111825	0.8596502996666667	0.009669665666666667
pp_119526	1.4225720403333333	0.21826236799999998
pp_209428	0.016848985666666667	3.9118498243333333
pp_212085	0.417586968	0.0
pp_128863	1.5745203330000002	0.36684712933333335
pp_111664	3.7519695503333335	0.686955426
pp_87427	6.352310242666667	0.295782957
pp_236176	3.45564261	0.07135538266666666
pp_216592	0.012816761666666667	1.6733661236666666
pp_118263	24.406985929333334	3.467324592333333
pp_211623	0.6474419126666666	0.055547042
pp_195977	1.2055821696666666	0.056482521
pp_154557	0.46400318133333335	0.0
pp_216886	0.0	1.9863779843333333
pp_187034	0.26154716499999997	2.203645154
pp_73904	1.0578863693333334	0.029789998666666664
pp_66840	7.118330085	0.119703711
pp_224530	0.17679467633333332	0.004255714
pp_246333	0.8048961283333333	0.01392538
pp_168613	2.85109552	0.6544186553333333
pp_189110	0.15304116033333331	0.0
pp_119401	0.23339868666666666	3.281497112666667
pp_154559	0.609452241	0.04135141233333334
pp_154549	0.3577167843333333	0.0
pp_59799	0.48706175533333335	0.017022856333333333
pp_145484	0.091957044	0.0
pp_205659	0.295825424	0.0
pp_246336	1.457911014	0.03744318666666667
pp_234804	1.9604609766666667	7.375064714333334
