	RDV_C	RDV_N
pp_58601	0.04498479166666667	1.6948166363333332
pp_95614	0.03299198666666667	0.7848183436666667
pp_128442	0.036983403666666664	2.910278252
pp_58602	0.012282595	0.7788302633333333
pp_61970	0.3184309926666667	2.786764537
pp_76478	0.0	0.17963552866666666
pp_252690	1.0234325343333333	6.138982118333333
pp_101051	2.465582494	22.41985048
pp_85605	0.0	0.143646209
pp_208861	0.17360087033333332	3.3772502356666667
pp_208863	0.13613352533333334	2.996177107666667
pp_146966	0.14213492066666666	1.7408463766666666
pp_213686	0.07412097933333334	1.0275403753333334
pp_239472	0.11592662833333334	4.639208353
pp_58045	0.39453341133333336	3.0572847803333336
pp_72407	0.09533286566666667	1.5420320173333333
pp_181100	0.095352855	2.7712506576666667
pp_112401	0.211105322	1.5997600966666665
pp_96311	0.11288310366666666	1.5454691943333332
pp_239931	0.053450131	0.8435073176666666
pp_95612	0.986189352	7.153333088666667
pp_211690	13.846287806666666	87.32991826
pp_227210	1.5339296816666665	10.188172164666668
pp_134927	0.2679101933333333	1.8197187609999999
pp_163688	0.434637426	5.906274775333333
pp_135397	0.061974003	3.9479631446666668
pp_128610	0.008639500666666666	1.2098587786666668
pp_197054	9.553149751	53.432704126666664
pp_112455	0.0	0.583751663
pp_213680	2.286597007	20.622081873333332
pp_233463	0.004319750333333333	0.5781520523333333
pp_169989	0.012244052	0.8095979856666666
pp_161199	4.290946997333333	0.057564485666666665
pp_95870	0.045371657	1.0060591763333333
pp_95616	1.3999874456666666	9.490610486
pp_61968	1.9935377356666666	12.458790776
pp_162980	0.7862032036666666	29.347093700000002
pp_237694	0.440908622	4.144420663666667
pp_159233	0.889103433	6.65312019
pp_250233	0.072005358	0.9996058830000001
pp_227212	0.9341296213333333	5.316903318333333
pp_142134	0.11553976266666667	1.4989495923333334
pp_72408	0.07040079933333333	0.960279808
pp_110693	0.4908698303333333	5.580710401666667
pp_194091	0.223891848	12.089194667666668
pp_58043	0.5212351516666667	3.121805121
pp_89133	0.20019602833333333	1.491585685
pp_58046	4.236154976333333	27.054023172
pp_147764	0.2550651353333333	4.28681842
pp_58047	0.5468638633333333	3.1831516643333333
pp_164366	5.201697758666667	45.771437359000004
pp_180077	0.066042506	0.5505488683333333
pp_196558	0.824912455	4.590251379666666
pp_213685	0.24187462666666665	1.4975167216666667
pp_197229	0.09016373433333333	0.7448218990000001
pp_217127	1.507451559	12.794804723333334
pp_196002	2.6723253176666666	11.648549569333333
pp_61966	1.3736720743333333	7.4722726213333335
pp_61967	1.166382572	6.844761941
pp_58048	4.380245669	27.148076733333333
pp_131157	0.622779274	0.009548299333333333
pp_227207	1.641797844	9.789995667666668
pp_251813	0.008137006	2.072148048
pp_203535	0.012244052	3.064357103
pp_215081	0.04134169733333333	3.7669653823333333
pp_195337	0.076073861	1.7519233313333333
pp_196007	2.6754973283333334	11.286327401333335
pp_189068	10.030399570666667	42.62199214333333
pp_135403	0.102464883	5.8596054330000005
pp_181051	0.4956749396666667	3.5075695283333332
pp_58039	0.491827727	3.1450382256666667
pp_96305	0.887133434	6.374299060666667
pp_134887	2.9366052336666666	19.832704125333333
pp_194095	0.29338329733333335	5.728507710666666
pp_95674	0.11521142966666667	1.0298603923333334
pp_118113	0.09992385266666666	3.2644873706666666
pp_219130	0.08328296433333333	0.950485022
pp_124465	1.4222529156666666	13.395965814
pp_208938	1.3671424993333332	8.748663666
pp_217125	4.475685332333334	34.199231942666664
pp_131335	0.2609894443333333	1.6350480593333332
pp_195113	2.072659381333333	12.864190412000001
pp_134824	12.626128254	92.12559051766667
pp_198112	1.0744801076666666	5.174270427
pp_134880	11.951950224333334	85.52263239266667
pp_134881	10.663292704666667	74.41898312366666
pp_147852	0.05350866333333333	0.354062701
pp_239920	0.12751257800000002	1.185931294
pp_213683	0.648594994	4.778268287333334
pp_92920	0.050193902	0.47352181433333335
pp_227208	0.5556018756666666	2.8752016906666666
pp_134888	4.8417265443333335	33.06839427433333
pp_154716	0.016274012333333334	0.6082236746666667
pp_181047	3.881582661	30.503537208999997
pp_58040	0.6488091156666667	2.825189046
pp_95615	0.28807711166666666	1.5776696706666666
pp_164370	3.019375718	18.686716212333334
pp_134884	4.381737405	31.94049540233333
pp_137189	4.151057555	28.779395388666668
pp_127536	0.049884122333333336	0.34155598800000003
pp_89134	0.9633172093333333	7.055037436333333
pp_208937	0.22147357866666667	1.7319275236666667
pp_134928	0.029059102	0.22950114466666668
pp_134882	2.3657257853333333	15.20950249
pp_134885	4.972124262666666	35.94492815966667
pp_86690	0.0	0.133958845
pp_96310	0.38657198433333334	2.250974277666667
pp_195111	1.3283489636666665	7.919816812
pp_208933	3.2398642533333333	13.316623466
pp_134829	12.693883767333334	93.88012741333334
pp_195110	2.0924051986666665	12.197892248
pp_146987	0.139775184	1.5021977739999999
pp_107782	0.0	1.352286438
pp_134820	21.532126155	156.40186024666667
pp_196559	0.7625901293333334	3.8951785126666665
pp_202774	0.6878281833333333	3.7436085573333333
pp_239929	0.227804743	1.5014463496666668
pp_134886	5.905500113	38.45558906266667
pp_96304	0.9590117416666667	6.698013285666667
pp_212955	0.13419206533333333	0.8725768546666667
pp_189066	14.815010126666667	56.197167713333336
pp_240197	0.7720976013333334	5.642380000999999
pp_61969	6.437460260333333	35.71731567
pp_179321	0.053237426666666664	0.3770432886666667
pp_208936	0.3215516033333333	2.0538574443333335
pp_64255	0.133128544	10.112317320333334
pp_135698	0.10715150933333334	3.8258376270000003
pp_134883	4.341647618	26.78719726
pp_213689	4.279490904666667	25.093965492000002
pp_134823	5.913314500333334	40.27112245066667
pp_107781	0.053836996666666664	1.4058764086666666
pp_134817	6.673864695333333	45.23250856133333
pp_100962	0.008137006	0.4044440026666667
pp_199327	0.6570903083333334	6.203982259666667
pp_217128	2.083301662333333	13.753524904
pp_188209	0.228481399	3.369501609333333
pp_228065	0.0	0.09408725633333334
pp_123494	0.567240614	4.8931304356666665
pp_95669	0.177823545	1.3208316423333333
pp_137197	8.464405462333334	60.09007378166667
pp_215517	0.48106260100000003	2.6096351413333334
pp_160407	1.852771892	0.145183273
pp_213681	1.1307268783333333	9.755153761
pp_162132	0.9941150716666667	4.481409846
pp_215510	0.710023633	4.3758704816666665
pp_154717	0.025067685	0.5970488683333334
pp_194089	0.086133774	9.359881688666666
pp_57874	0.049632875	0.485720145
pp_203534	0.03823964	4.163232771666666
pp_179325	0.12900150800000001	0.585243957
pp_144431	0.47644020266666665	2.935600912
pp_196562	0.8483184843333332	3.8682218066666665
pp_56668	0.261414853	1.9654336483333332
pp_225736	0.4038909833333333	3.703877927333333
pp_215352	4.644237073666667	24.96538307033333
pp_107784	0.0	1.1469284696666666
pp_197342	0.012959251	0.24684583799999998
pp_196561	0.6837711016666667	2.969969660333333
pp_189067	12.313760307666668	45.11402083
pp_68598	0.008137006	0.23017646433333333
pp_206055	2.322862293	12.554920128333334
