	RM_C	RM_N
pp_58601	0.0076487103333333336	2.9998371656666665
pp_208849	0.06422753033333334	3.2572998023333333
pp_208861	0.6078502853333334	25.284379454
pp_117809	0.0	1.1254205296666666
pp_208851	0.052146895	3.031988491
pp_128442	0.13862833366666666	7.997282062
pp_198956	0.074777259	1.9463633536666667
pp_198952	0.05318578866666667	1.6171951923333334
pp_208863	0.6230688726666667	24.301143955666667
pp_160485	0.0	0.8076552309999999
pp_198945	0.046575972	1.5244251946666667
pp_162853	3.221099544	0.270899769
pp_58602	0.051970649333333334	1.4626241923333334
pp_66055	0.039674352333333336	3.7367629690000004
pp_117811	0.0	0.327538739
pp_130002	0.368937274	8.149504353333333
pp_146700	0.0	0.42346810566666665
pp_119389	0.016943883666666666	2.511662334
pp_114451	0.10851005300000001	3.273328030333333
pp_235226	0.019945007333333334	1.4420172726666667
pp_91831	0.0	0.2523006563333333
pp_137574	0.003608693	0.40257232499999995
pp_238071	0.0	0.298321881
pp_227129	0.07991685833333334	2.4080628233333337
pp_66499	0.10680290133333334	3.533953524666667
pp_238067	0.0	0.26854589433333337
pp_203885	4.359963144333333	30.628495171333334
pp_66494	0.41633647766666665	11.246295072666666
pp_208585	0.0	0.23183779366666665
pp_114448	0.17291382900000002	6.078494664
pp_72975	0.29286022300000003	8.067232541666666
pp_160486	0.0	0.8119871046666666
pp_117815	0.0	0.3237960893333333
pp_168080	0.26730756866666666	5.609353931666667
pp_227133	0.264737769	10.765108893
pp_91835	0.3206456383333333	5.0619036196666665
pp_148341	2.924633201333333	0.12967657566666668
pp_182292	0.031202410666666666	1.2511385476666668
pp_134927	3.7043098413333335	27.166747031333333
pp_227135	0.13314206366666667	4.5764478083333335
pp_151978	0.169231687	6.650524495
pp_213919	0.8475177796666666	12.535964059666668
pp_128694	0.0	0.3273162233333333
pp_219416	0.18668885533333332	4.7253951286666664
pp_195337	0.03759656533333333	1.9853379583333333
pp_133250	0.007433048	0.773090377
pp_117806	0.0	1.2585997326666667
pp_219417	0.11551446966666667	2.4679581306666667
pp_66498	0.9122187426666666	24.181470421333334
pp_203884	0.5280787683333333	3.0360976753333335
pp_134923	2.2914112233333332	18.897377661
pp_151980	0.7134812936666667	64.910698664
pp_215680	0.438897641	9.110534502
pp_85126	0.0	0.486059256
pp_208586	0.0	0.13469984566666665
pp_114447	0.15604877766666667	3.3008192363333335
pp_155001	0.04967720066666667	1.2107085503333332
pp_201977	0.23179148233333335	7.068093276
pp_129080	0.121337779	1.5309364666666667
pp_227561	0.191767766	3.843271497
pp_197344	0.6484367863333333	20.85356926733333
pp_213918	0.7729194583333333	10.631666179
pp_60104	4.784730226	0.45499678066666666
pp_117813	0.0	0.17184086433333334
pp_146703	0.0	4.705132224333333
pp_230441	1.916693118	24.74647382666667
pp_233349	0.14676905666666668	3.991371037666667
pp_129808	0.009295173333333333	0.7759638683333334
pp_201978	0.13932324833333334	4.769261370333333
pp_181425	0.21760640366666667	2.4992615186666667
pp_66495	0.22828020166666665	4.262759740333333
pp_168504	0.009295173333333333	0.5432455053333333
pp_151976	0.40016321400000004	36.808482870666666
pp_104897	2.5507048303333333	21.215354709333333
pp_159921	0.464190969	3.787708727
pp_73092	0.0	0.419430825
pp_141831	7.250622172	0.6586698923333334
pp_153124	0.154147236	3.560151332333333
pp_124288	0.0	0.4739655096666667
pp_91824	0.08646598666666666	0.7826647893333333
pp_203883	1.455521483	8.477905225666667
pp_182290	0.017551453	0.5028789836666666
pp_104911	2.8278486336666666	22.56273808066667
pp_199133	0.26286443933333337	9.297373060333333
pp_72974	0.3714490773333333	7.151695219333333
pp_151981	0.284001758	10.882361073333334
pp_88944	0.4194710523333333	0.0
pp_129805	0.068890569	5.468395064666666
pp_72282	0.05046101533333334	0.488843164
pp_105177	0.003608693	1.3873295293333332
pp_128417	0.10986471333333334	2.0034413736666665
pp_203979	0.4271838286666667	5.124232228
pp_104905	0.062110326333333334	1.5559147953333334
pp_114446	0.15647158966666666	3.6280152296666666
pp_235988	0.0	0.15215964566666668
pp_181418	0.5696616026666667	9.071911118
pp_220809	1.5817531483333334	0.07495548966666667
pp_153127	0.15440231466666668	2.7990744223333333
pp_100091	0.013119528333333333	0.6205907199999999
pp_233342	0.5068521136666667	10.214185249666667
pp_188958	0.0	0.6011981133333333
pp_66497	0.3554594346666667	6.556150556
pp_96419	1.8463413276666667	8.84643975
pp_85381	1.4822699783333333	0.26289739866666667
pp_234077	4.555925639333333	0.16560314466666667
pp_68976	0.0	0.406850065
pp_119426	0.0	0.6040207936666666
pp_194449	0.036888891	0.7696390733333334
pp_238074	0.008256279666666666	0.28975432533333334
pp_129078	0.06165773066666667	1.063692556
pp_168078	0.16420495300000001	2.7314424953333334
pp_96423	1.7473085133333333	9.238896553666667
pp_104913	1.3804400963333332	10.513931961666668
pp_96222	0.040281922	1.3393087753333333
pp_137575	0.0	0.150909007
pp_151979	0.4639621123333333	22.368430651
pp_96218	0.09331273733333334	2.008578341
pp_129400	0.126277168	0.9685776626666667
pp_148548	0.21694396533333332	3.5422090956666663
pp_203976	0.370395167	6.333254337
pp_233327	3.1274960223333332	22.967102590666666
pp_203617	0.0	0.3206246443333333
pp_85422	4.128663908	26.15403896
pp_203227	0.425333778	0.0
pp_238069	0.0076487103333333336	0.285524662
pp_154998	0.07899352166666668	1.042528879
pp_64340	0.0	0.3689394403333333
pp_72483	2.6045479396666664	19.871621436333335
pp_129807	0.14596127733333333	7.879484988333333
pp_189068	11.590912242333333	53.38544846333333
pp_235230	0.04296727866666667	1.328492591
pp_227361	0.672219344	7.2163701646666665
pp_233325	5.362111175	37.006825127333336
pp_189066	16.659121393333333	73.89494495666666
pp_117814	0.02323793366666667	1.292893406
pp_85012	8.728360352333333	1.1631029363333334
pp_233345	0.56612211	3.508816382
pp_235992	0.250625703	8.931802056666667
pp_202153	5.031384425333333	0.632248754
pp_235227	0.0076487103333333336	0.5920353899999999
pp_104904	1.4014757383333334	10.363064975333334
pp_239972	5.589866369	0.25848735333333334
pp_151977	0.5756916433333333	27.883184027
pp_174052	0.269361391	2.603088236
pp_235228	0.0	0.11337716633333333
pp_211828	0.310785439	3.4491740099999997
pp_148437	0.151929928	0.0
pp_230139	0.43872990733333334	3.866164223666667
pp_246544	0.14458153199999998	15.238919442666665
pp_211690	10.084952203666667	52.29642437333333
pp_230439	0.11588823233333333	1.877338529
pp_180053	0.5164836406666666	4.206670120333333
pp_164359	1.2234276953333332	11.418467626333333
pp_199086	9.988947972	0.5888670183333333
pp_137700	0.04581342866666667	0.807507678
pp_64344	0.09440649966666667	1.2101700996666667
pp_73038	3.5101622333333333	31.41992025833333
pp_105178	0.011864973000000001	1.1208607476666665
pp_146698	0.0	1.1154760486666666
pp_234804	1.47155566	6.520428948333333
pp_105185	0.0038243549999999998	0.6215560696666667
pp_212291	0.39154367333333334	2.0650160386666667
pp_85411	10.407033257	63.11300933766667
pp_63905	0.04324362933333333	1.5302602423333334
pp_79452	0.5825191123333333	2.956936523
pp_129804	0.10142367566666667	5.327839494
pp_203469	1.6869849926666667	0.020637264
pp_162852	3.8854347993333334	0.546564292
pp_179769	0.14785318633333333	1.831230478
pp_185197	0.081879088	1.4286520963333333
pp_56566	0.30396847266666666	3.8264524336666668
pp_168081	0.11137434766666666	1.8517747603333334
pp_148574	0.404168062	4.2628026519999995
pp_244033	2.2521297473333335	0.0
pp_73091	0.36554111533333333	2.900886589
